Rk,Player,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.,
,Juwan Johnson,12,Sun,3,3,9/24/2023,27-011,NOR,@,GNB,L 17-18,4,2,12,6,0,50,3,,50,TE,
,Dawson Knox,12,Sun,4,4,10/1/2023,26-321,BUF,,MIA,W 48-20,1,1,12,12,0,100,12,1,100,TE,
,Hunter Luepke,12,Sun,3,3,9/24/2023,23-208,DAL,@,ARI,L 16-28,1,1,12,12,0,100,12,1,100,RB,
,Chris Olave,12,Sun,5,5,10/8/2023,23-103,NOR,@,NWE,W 34-0,5,2,12,6,1,40,2.4,1,40,WR,
,Donovan Peoples-Jones,12,Sun,1,1,9/10/2023,24-203,CLE,,CIN,W 24-3,2,1,12,12,0,50,6,1,50,WR,
,Tony Pollard,12,Sun,1,1,9/10/2023,26-133,DAL,@,NYG,W 40-0,3,2,12,6,0,66.7,4,1,33.3,RB,
,Hunter Renfrow,12,Sun,4,4,10/1/2023,27-284,LVR,@,LAC,L 17-24,4,2,12,6,0,50,3,1,25,WR,
,Allen Robinson,12,Mon,2,2,9/18/2023,30-025,PIT,,CLE,W 26-22,3,2,12,6,0,66.7,4,,66.7,WR,
,Bijan Robinson,12,Sun,5,5,10/8/2023,21-251,ATL,,HOU,W 21-19,2,2,12,6,1,100,6,1,100,RB,
,Laviska Shenault Jr.,12,Sun,4,4,10/1/2023,24-361,CAR,,MIN,L 13-21,1,1,12,12,0,100,12,1,100,WR,
,Ben Sims,12,Mon,5,5,10/9/2023,23-146,GNB,@,LVR,L 13-17,1,1,12,12,0,100,12,1,100,TE,
,Adam Thielen,12,Sun,1,1,9/10/2023,33-019,CAR,@,ATL,L 10-24,2,2,12,6,0,100,6,1,50,WR,
,C.J. Uzomah,12,Sun,5,5,10/8/2023,30-267,NYJ,@,DEN,W 31-21,2,2,12,6,0,100,6,1,100,TE,
,Marquez Valdes-Scantling,12,Sun,5,5,10/8/2023,28-363,KAN,@,MIN,W 27-20,2,1,12,12,0,50,6,1,50,WR,
,Jaylen Warren,12,Sun,1,1,9/10/2023,24-313,PIT,,SFO,L 7-30,6,5,12,2.4,0,83.3,2,1,16.7,RB,
,Ameer Abdullah,11,Mon,5,5,10/9/2023,30-118,LVR,,GNB,W 17-13,1,1,11,11,0,100,11,1,100,RB,
,Nate Adkins,11,Sun,3,3,9/24/2023,24-077,DEN,@,MIA,L 20-70,1,1,11,11,0,100,11,1,100,TE,
,Cam Akers,11,Sun,4,4,10/1/2023,24-101,MIN,@,CAR,W 21-13,2,2,11,5.5,0,100,5.5,0,50,RB,
,Dyami Brown,11,Thu,5,5,10/5/2023,23-338,WAS,,CHI,L 20-40,3,1,11,11,0,33.3,3.7,1,33.3,WR,
,Dalvin Cook,11,Sun,3,3,9/24/2023,28-045,NYJ,,NWE,L 10-15,3,3,11,3.7,0,100,3.7,0,33.3,RB,
,Jake Ferguson,11,Sun,1,1,9/10/2023,24-235,DAL,@,NYG,W 40-0,7,2,11,5.5,0,28.6,1.6,,14.3,TE,
,Jake Ferguson,11,Sun,2,2,9/17/2023,24-242,DAL,,NYJ,W 30-10,4,3,11,3.7,1,75,2.8,2,50,TE,
,Jahmyr Gibbs,11,Thu,4,4,9/28/2023,21-192,DET,@,GNB,W 34-20,5,4,11,2.8,0,80,2.2,1,20,RB,
,Derrick Henry,11,Sun,4,4,10/1/2023,29-270,TEN,,CIN,W 27-3,1,1,11,11,0,100,11,0,100,RB,
,KhaDarel Hodge,11,Sun,5,5,10/8/2023,28-278,ATL,,HOU,W 21-19,1,1,11,11,0,100,11,1,100,WR,
,Austin Hooper,11,Sun,4,4,10/1/2023,28-337,LVR,@,LAC,L 17-24,2,1,11,11,0,50,5.5,,50,TE,
,Austin Hooper,11,Mon,5,5,10/9/2023,28-345,LVR,,GNB,W 17-13,2,2,11,5.5,0,100,5.5,,50,TE,
,Lil'Jordan Humphrey,11,Sun,1,1,9/10/2023,25-144,DEN,,LVR,L 16-17,2,2,11,5.5,1,100,5.5,1,100,WR,
,Lil'Jordan Humphrey,11,Sun,4,4,10/1/2023,25-165,DEN,@,CHI,W 31-28,1,1,11,11,0,100,11,1,100,WR,
,Hayden Hurst,11,Sun,3,3,9/24/2023,30-031,CAR,@,SEA,L 27-37,3,1,11,11,0,33.3,3.7,1,33.3,TE,
,Roschon Johnson,11,Sun,3,3,9/24/2023,22-236,CHI,@,KAN,L 10-41,2,2,11,5.5,0,100,5.5,0,100,RB,
,Tim Jones,11,Sun,3,3,9/24/2023,25-131,JAX,,HOU,L 17-37,3,2,11,5.5,0,66.7,3.7,,33.3,WR,
,Dawson Knox,11,Sun,3,3,9/24/2023,26-314,BUF,@,WAS,W 37-3,3,1,11,11,0,33.3,3.7,1,33.3,TE,
,Alexander Mattison,11,Thu,2,2,9/14/2023,25-087,MIN,@,PHI,L 28-34,6,3,11,3.7,0,50,1.8,1,16.7,RB,
,Anthony McFarland Jr.,11,Sun,1,1,9/10/2023,25-190,PIT,,SFO,L 7-30,2,2,11,5.5,0,100,5.5,1,100,RB,
,Skyy Moore,11,Sun,5,5,10/8/2023,23-028,KAN,@,MIN,W 27-20,2,2,11,5.5,0,100,5.5,,50,WR,
,Johnny Mundt,11,Sun,5,5,10/8/2023,28-319,MIN,,KAN,L 20-27,1,1,11,11,0,100,11,1,100,TE,
